"Date","Spot exchange rate, Sterling into US$              [a] [a] [a]             XUDLGBD","Spot exchange rate, US $ into Sterling              [a] [a] [a]             XUDLUSS"
"12 Jan 26","0.7421","1.3475"
"09 Jan 26","0.7452","1.3419"
"08 Jan 26","0.744","1.3442"
"07 Jan 26","0.7418","1.3481"
"06 Jan 26","0.7404","1.3507"
"05 Jan 26","0.7406","1.3503"
"02 Jan 26","0.7409","1.3497"
"31 Dec 25","0.7434","1.3451"
"30 Dec 25","0.7422","1.3473"
"29 Dec 25","0.7407","1.35"
"24 Dec 25","0.7403","1.3507"
"23 Dec 25","0.7416","1.3484"
"22 Dec 25","0.7433","1.3454"
"19 Dec 25","0.7484","1.3362"
"18 Dec 25","0.7465","1.3395"
"17 Dec 25","0.7463","1.34"
"16 Dec 25","0.7454","1.3417"
"15 Dec 25","0.7466","1.3394"
"12 Dec 25","0.7488","1.3355"
"11 Dec 25","0.7443","1.3435"
"10 Dec 25","0.7507","1.3321"
"09 Dec 25","0.752","1.3297"
"08 Dec 25","0.7512","1.3312"
"05 Dec 25","0.7495","1.3343"
"04 Dec 25","0.7478","1.3373"
"03 Dec 25","0.7501","1.3331"
"02 Dec 25","0.7575","1.3201"
"01 Dec 25","0.7546","1.3252"
"28 Nov 25","0.7546","1.3252"
"27 Nov 25","0.7546","1.3252"
"26 Nov 25","0.7561","1.3226"
"25 Nov 25","0.7589","1.3177"
"24 Nov 25","0.7635","1.3098"
"21 Nov 25","0.7643","1.3085"
"20 Nov 25","0.7636","1.3096"
"19 Nov 25","0.7645","1.308"
"18 Nov 25","0.7608","1.3144"
"17 Nov 25","0.7589","1.3177"
"14 Nov 25","0.7611","1.314"
"13 Nov 25","0.7576","1.3199"
"12 Nov 25","0.7616","1.313"
"11 Nov 25","0.7591","1.3173"
"10 Nov 25","0.7606","1.3148"
"07 Nov 25","0.7604","1.3152"
"06 Nov 25","0.7632","1.3102"
"05 Nov 25","0.7668","1.3042"
"04 Nov 25","0.7665","1.3046"
"03 Nov 25","0.7607","1.3146"
"31 Oct 25","0.7611","1.3139"
"30 Oct 25","0.7607","1.3147"
"29 Oct 25","0.7552","1.3241"
"28 Oct 25","0.7532","1.3278"
"27 Oct 25","0.7502","1.3329"
"24 Oct 25","0.7519","1.3301"
"23 Oct 25","0.7506","1.3322"
"22 Oct 25","0.7488","1.3355"
"21 Oct 25","0.7478","1.3373"
"20 Oct 25","0.7454","1.3416"
"17 Oct 25","0.7467","1.3392"
"16 Oct 25","0.7444","1.3434"
"15 Oct 25","0.7482","1.3365"
"14 Oct 25","0.752","1.3297"
"13 Oct 25","0.7504","1.3327"
"10 Oct 25","0.7518","1.3302"
"09 Oct 25","0.75","1.3333"
"08 Oct 25","0.7451","1.3421"
"07 Oct 25","0.7445","1.3431"
"06 Oct 25","0.7418","1.348"
"03 Oct 25","0.7423","1.3472"
"02 Oct 25","0.7451","1.3421"
"01 Oct 25","0.7404","1.3507"
"30 Sep 25","0.7428","1.3462"
"29 Sep 25","0.7452","1.3419"
"26 Sep 25","0.7462","1.3402"
"25 Sep 25","0.7492","1.3348"
"24 Sep 25","0.7434","1.3451"
"23 Sep 25","0.7394","1.3525"
"22 Sep 25","0.741","1.3495"
"19 Sep 25","0.7417","1.3483"
"18 Sep 25","0.7379","1.3552"
"17 Sep 25","0.7321","1.3659"
"16 Sep 25","0.7323","1.3657"
"15 Sep 25","0.7358","1.359"
"12 Sep 25","0.7375","1.3559"
"11 Sep 25","0.7376","1.3557"
"10 Sep 25","0.738","1.3551"
"09 Sep 25","0.7386","1.354"
"08 Sep 25","0.7388","1.3535"
"05 Sep 25","0.7396","1.352"
"04 Sep 25","0.7448","1.3427"
"03 Sep 25","0.7444","1.3434"
"02 Sep 25","0.7464","1.3397"
"01 Sep 25","0.7381","1.3548"
"29 Aug 25","0.7402","1.3509"
"28 Aug 25","0.7401","1.3511"
"27 Aug 25","0.7429","1.346"
"26 Aug 25","0.7419","1.3479"
"22 Aug 25","0.7394","1.3525"
"21 Aug 25","0.7448","1.3427"
"20 Aug 25","0.7423","1.3472"
"19 Aug 25","0.7406","1.3503"
"18 Aug 25","0.7398","1.3516"
"15 Aug 25","0.7375","1.356"
"14 Aug 25","0.7377","1.3556"
"13 Aug 25","0.7368","1.3572"
"12 Aug 25","0.7414","1.3489"
"11 Aug 25","0.7459","1.3408"
"08 Aug 25","0.7441","1.3439"
"07 Aug 25","0.746","1.3404"
"06 Aug 25","0.7502","1.3331"
"05 Aug 25","0.7524","1.329"
"04 Aug 25","0.7522","1.3294"
"01 Aug 25","0.7539","1.3263"
"31 Jul 25","0.7558","1.3232"
"30 Jul 25","0.7524","1.3291"
"29 Jul 25","0.7503","1.3328"
"28 Jul 25","0.7456","1.3412"
"25 Jul 25","0.7446","1.343"
"24 Jul 25","0.7385","1.3542"
"23 Jul 25","0.7374","1.356"
"22 Jul 25","0.7407","1.3501"
"21 Jul 25","0.7412","1.3493"
"18 Jul 25","0.7439","1.3442"
"17 Jul 25","0.7457","1.341"
"16 Jul 25","0.7467","1.3392"
"15 Jul 25","0.7465","1.3397"
"14 Jul 25","0.7436","1.3447"
"11 Jul 25","0.7405","1.3505"
"10 Jul 25","0.7377","1.3555"
"09 Jul 25","0.7359","1.3588"
"08 Jul 25","0.7383","1.3545"
"07 Jul 25","0.7334","1.3636"
"04 Jul 25","0.733","1.3643"
"03 Jul 25","0.7328","1.3646"
"02 Jul 25","0.7356","1.3594"
"01 Jul 25","0.729","1.3718"
"30 Jun 25","0.7298","1.3703"
"27 Jun 25","0.7291","1.3715"
"26 Jun 25","0.7282","1.3733"
"25 Jun 25","0.734","1.3624"
"24 Jun 25","0.7341","1.3623"
"23 Jun 25","0.7414","1.3489"
"20 Jun 25","0.7427","1.3465"
"19 Jun 25","0.7448","1.3427"
"18 Jun 25","0.7434","1.3452"
"17 Jun 25","0.7401","1.3512"
"16 Jun 25","0.7355","1.3596"
"13 Jun 25","0.7366","1.3576"
"12 Jun 25","0.7356","1.3595"
"11 Jun 25","0.7386","1.3538"
"10 Jun 25","0.7399","1.3515"
"09 Jun 25","0.7383","1.3545"
"06 Jun 25","0.7393","1.3527"
"05 Jun 25","0.7358","1.3591"
"04 Jun 25","0.7365","1.3577"
"03 Jun 25","0.7392","1.3529"
"02 Jun 25","0.7378","1.3553"
"30 May 25","0.7417","1.3482"
"29 May 25","0.7417","1.3483"
"28 May 25","0.7423","1.3471"
"27 May 25","0.7396","1.3521"
"23 May 25","0.741","1.3496"
"22 May 25","0.7449","1.3424"
"21 May 25","0.7442","1.3437"
"20 May 25","0.748","1.3369"
"19 May 25","0.7481","1.3367"
"16 May 25","0.7538","1.3265"
"15 May 25","0.7531","1.3279"
"14 May 25","0.7516","1.3305"
"13 May 25","0.7541","1.326"
"12 May 25","0.7575","1.3202"
"09 May 25","0.7516","1.3305"
"08 May 25","0.7513","1.331"
"07 May 25","0.7482","1.3366"
"06 May 25","0.7478","1.3372"
"02 May 25","0.7507","1.3321"
"01 May 25","0.7521","1.3296"
"30 Apr 25","0.7488","1.3356"
"29 Apr 25","0.7469","1.3389"
"28 Apr 25","0.7467","1.3393"
"25 Apr 25","0.7514","1.3309"
"24 Apr 25","0.7511","1.3315"
"23 Apr 25","0.7533","1.3275"
"22 Apr 25","0.7474","1.3379"
"17 Apr 25","0.7557","1.3233"
"16 Apr 25","0.7543","1.3257"
"15 Apr 25","0.755","1.3245"
"14 Apr 25","0.7583","1.3187"
"11 Apr 25","0.7658","1.3059"
"10 Apr 25","0.7716","1.296"
"09 Apr 25","0.7839","1.2757"
"08 Apr 25","0.7839","1.2757"
"07 Apr 25","0.784","1.2755"
"04 Apr 25","0.7728","1.294"
"03 Apr 25","0.7594","1.3168"
"02 Apr 25","0.7712","1.2966"
"01 Apr 25","0.7738","1.2923"
"31 Mar 25","0.7746","1.291"
"28 Mar 25","0.7727","1.2941"
"27 Mar 25","0.7715","1.2963"
"26 Mar 25","0.776","1.2887"
"25 Mar 25","0.7723","1.2948"
"24 Mar 25","0.7745","1.2911"
"21 Mar 25","0.7756","1.2893"
